ONHDLDEL_08100	BCK51667.1	33.333	27	18	0	11	37	203	229	1.3	19.2
ONHDLDEL_08101	BCK51644.1	42.857	35	17	1	89	123	276	307	0.045	26.9
ONHDLDEL_08101	BCK51644.1	34.483	58	37	1	67	123	1796	1853	0.39	24.3
ONHDLDEL_08101	BCK51645.1	36.207	58	36	1	67	123	3317	3374	0.047	26.9
ONHDLDEL_08101	BCK51641.1	36.957	46	28	1	79	123	265	310	0.086	26.2
ONHDLDEL_08101	BCK51641.1	42.308	26	15	0	98	123	5334	5359	0.21	25.0
ONHDLDEL_08101	BCK51640.1	37.143	35	19	1	89	123	4415	4446	0.098	25.8
ONHDLDEL_08101	BCK51640.1	33.333	45	29	1	80	123	264	308	0.34	24.3
ONHDLDEL_08101	BCK51640.1	35.556	45	28	1	80	123	2332	2376	0.36	24.3
ONHDLDEL_08101	BCK51640.1	32.000	50	29	2	13	61	1535	1580	5.2	20.8
ONHDLDEL_08101	BCK51646.1	40.000	35	18	1	89	123	277	308	0.13	25.8
ONHDLDEL_08101	BCK51647.1	37.143	35	19	1	89	123	276	307	0.13	25.4
ONHDLDEL_08101	BCK51648.1	42.308	26	15	0	98	123	283	308	0.23	24.6
ONHDLDEL_08101	BCK51648.1	38.462	26	16	0	98	123	1798	1823	0.80	23.1
ONHDLDEL_08101	BCK51638.1	37.143	35	19	1	89	123	277	308	0.27	24.6
ONHDLDEL_08101	BCK51649.1	38.462	26	16	0	98	123	287	312	0.41	23.9
ONHDLDEL_08101	BCK51633.1	37.143	35	19	1	89	123	1346	1377	0.63	23.5
ONHDLDEL_08101	BCK51633.1	37.931	29	18	0	43	71	280	308	1.6	22.3
ONHDLDEL_08101	BCK51633.1	34.286	35	20	1	89	123	3075	3106	3.3	21.2
ONHDLDEL_08101	BCK51633.1	47.368	19	10	0	140	158	3819	3837	9.6	19.6
ONHDLDEL_08101	BCK51642.1	38.462	26	16	0	98	123	270	295	1.1	22.7
ONHDLDEL_08102	BCK51649.1	31.148	61	35	2	88	143	894	952	7.4	20.8
ONHDLDEL_08103	BCK51660.1	33.333	69	46	0	1	69	78	146	3.72e-06	35.8
ONHDLDEL_08103	BCK51643.1	36.842	38	19	1	4	41	3892	3924	0.44	21.6
ONHDLDEL_08103	BCK51643.1	32.500	40	25	2	1	38	771	810	0.66	21.2
ONHDLDEL_08103	BCK51643.1	35.484	31	20	0	17	47	33	63	2.6	19.6
ONHDLDEL_08103	BCK51643.1	39.583	48	25	2	29	72	2251	2298	3.8	19.2
ONHDLDEL_08103	BCK51643.1	26.415	53	37	1	4	56	649	699	6.8	18.5
ONHDLDEL_08103	BCK51650.1	42.424	33	19	0	34	66	119	151	0.47	21.6
ONHDLDEL_08103	BCK51667.1	34.615	26	17	0	17	42	237	262	0.99	20.8
ONHDLDEL_08103	BCK51646.1	40.000	40	22	2	13	51	1356	1394	1.5	20.4
ONHDLDEL_08103	BCK51633.1	45.455	22	12	0	32	53	1812	1833	2.5	19.6
ONHDLDEL_08103	BCK51633.1	38.889	18	11	0	4	21	1725	1742	7.2	18.5
ONHDLDEL_08103	BCK51644.1	34.375	32	10	1	21	41	3691	3722	3.2	19.2
ONHDLDEL_08103	BCK51644.1	38.889	18	11	0	4	21	641	658	4.5	18.9
ONHDLDEL_08103	BCK51640.1	35.000	20	13	0	4	23	4782	4801	6.8	18.5
ONHDLDEL_08103	BCK51642.1	33.333	18	12	0	4	21	646	663	8.3	18.1
ONHDLDEL_08104	BCK51637.1	47.619	21	11	0	26	46	1790	1810	0.34	21.6
ONHDLDEL_08104	BCK51641.1	38.235	34	18	1	16	46	9251	9284	0.88	20.4
ONHDLDEL_08104	BCK51641.1	35.714	28	18	0	31	58	8316	8343	3.8	18.9
ONHDLDEL_08104	BCK51634.1	63.636	11	4	0	24	34	461	471	2.2	19.2
